Channel,Minimum,Maximum,Mean,RMS,Variance,Standard Deviation,Power,Peak,Peak-to-Peak,Crest Factor,Skew,Kurtosis,Max_F,Sum_F,Mean_F,Variance_F,Peak_F,Skew_F,Kurtosis_F
Fp1,-27.731200000000005,15.041999999999998,2.540640982506872e-05,2.9459837918178895,8.67882050100807,2.94598379170831,8.678820501653709,27.731200000000005,42.7732,9.41322218982332,-2.87507942968127,17.75982469334055,13394.121282392776,867882.0501653709,8.678820501653709,13319.585768101153,13394.121282392776,50.21085068956394,4485.998157105446
Fp2,-28.5757,16.8556,-2.1669364858938423e-05,3.1847768034543886,10.142803287351422,3.1847768033806423,10.142803287821154,28.5757,45.4313,8.972591099321367,-2.832792924566892,18.123972940271063,9306.68701487055,1014280.3287821156,10.142803287821156,15266.04180518629,9306.68701487055,30.944922480138874,1524.2234091698274
Fz,-28.4386,20.218,1.6879400047106544e-05,2.9893191035150286,8.936028702354783,2.98931910346734,8.936028702639895,28.4386,48.6566,9.513403894070764,-2.577817369615324,20.1619104906482,8415.613730427967,893602.8702639895,8.936028702639895,12858.567180782089,8415.613730427967,31.943834614048743,1548.1807634869415
F3,-18.743,10.8611,1.675755958011564e-05,2.1798851392195893,4.751899219909548,2.1798851391551683,4.751899220190409,18.743,29.6041,8.598159445552298,-2.288693307109372,12.887469989030926,4498.122540698498,475189.9220190409,4.751899220190409,3035.994750811404,4498.122540698498,32.9484318869725,1773.1853214655214
F4,-10.512999999999996,5.54165,5.771036668133363e-06,1.0430501229370068,1.0879535589255782,1.0430501229210312,1.087953558958905,10.512999999999996,16.054649999999995,10.07909377393833,-2.059909350527267,14.364199762966567,913.4745983013295,108795.35589589048,1.0879535589589047,145.92738387737413,913.4745983013295,28.123151053087774,1245.4311531884337
F7,-14.4721,7.03138,-1.4746076441202405e-05,1.1709025899076746,1.3710128748350587,1.1709025898148226,1.3710128750525001,14.4721,21.50348,12.359781355630208,-2.2486929475529553,14.64175075203995,1856.3492791488409,137101.28750525002,1.3710128750525001,280.26120237824483,1856.3492791488409,45.12388724815765,3657.9687893477817
F8,-15.331000000000003,7.08397,2.6681345536538004e-06,1.0932676809671662,1.1952342222402312,1.0932676809639217,1.1952342222473253,15.331000000000003,22.414970000000004,14.023098155098975,-1.8280187438849465,21.315317516688367,689.1002169565301,119523.42222473251,1.1952342222473251,191.0832389572523,689.1002169565301,25.299935686687416,867.9399137063662
FC1,-7.338239999999998,6.2839,-8.686824928594916e-07,1.078451682860952,1.1630580322648705,1.0784516828606048,1.1630580322656197,7.338239999999998,13.622139999999998,6.80442166915895,-1.1352937071386435,5.229888229783365,1031.7627619974235,116305.80322656193,1.1630580322656192,185.4353281988426,1031.7627619974235,31.68737706677964,1547.4870732140348
FC2,-13.3675,29.2802,1.4994815336031308e-05,3.0140893846963133,9.084734818714185,3.014089384659019,9.084734818939001,29.2802,42.6477,9.714443157746679,1.3884695451569111,8.625995113345272,5742.466518446231,908473.4818939001,9.084734818939001,9739.61426569898,5742.466518446231,26.231775859434286,978.4972789021499
FC5,-14.231500000000002,10.2364,7.2614715946031086e-06,0.9925290271907505,0.9851138697634786,0.9925290271641826,0.9851138698162176,14.231500000000002,24.4679,14.33862346603683,-1.3277584532012208,11.742774054503254,730.0957876774306,98511.38698162176,0.9851138698162176,88.09539541206298,730.0957876774306,28.947326549112837,1405.9537715296206
FC6,-7.83352,7.39274,2.0920362554044302e-06,0.6866281096768647,0.47145816099405513,0.6866281096736829,0.4714581609984246,7.83352,15.22626,11.408679443209143,-0.9338619389448637,9.336394834471166,438.094229657074,47145.81609984246,0.4714581609984246,28.276113779878923,438.094229657074,35.972642589133265,1942.2176205655276
Cz,-6.189520000000001,5.4060500000000005,2.406681759963902e-07,1.0027275040925645,1.0054624474636287,1.002727504092527,1.005462447463704,6.189520000000001,11.595570000000002,6.172683979184668,-0.4884736431436348,2.5342673883928812,914.2325816191544,100546.24474637037,1.0054624474637037,121.13098332882038,914.2325816191544,33.53285650399169,1738.1298984630773
C3,-6.430570000000001,5.53413,8.337494477821394e-08,0.8026282448467454,0.6442120994257384,0.8026282448467276,0.6442120994257672,6.430570000000001,11.9647,8.011890986004186,-0.6649137773321346,3.2201744453222316,613.9336234333866,64421.20994257671,0.6442120994257671,57.6052665407826,613.9336234333866,36.94599711194914,2017.7852704057168
C4,-14.020900000000001,11.8604,-2.9258034241164097e-05,1.5485564948547272,2.398027216900719,1.548556494578328,2.398027217756759,14.020900000000001,25.881300000000003,9.05417403019276,-0.6480323389043045,5.999312055648248,1384.3839967262725,239802.72177567595,2.3980272177567596,582.3379852376024,1384.3839967262725,28.75254226863563,1168.082175115347
T3,-3.5331099999999998,4.02264,1.2363302817018606e-06,0.5671268086039363,0.32163281703575564,0.5671268086025872,0.3216328170372858,4.02264,7.55575,7.093016833223426,0.18581155423351686,1.4664473605453816,177.01858256062903,32163.28170372858,0.3216328170372858,7.845275214870305,177.01858256062903,28.675903322249393,1185.8676451290555
T4,-7.262759999999999,18.7804,-8.250712272430292e-06,1.3263395847077932,1.7591766938947846,1.3263395846821373,1.7591766939628413,18.7804,26.04316,14.159571362063753,0.12269962336959217,1.2741883225550392,5960.622909938741,175917.66939628415,1.7591766939628415,1035.713888835286,5960.622909938741,137.46407822438303,24052.00668443871
